3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
05.05.1937	3163	Devlet Demiryolları İdaresince Trabzon-İran Yolu Üzerinde Otobüs, Kamyon ve Otomobil İşletilmesi Hakkında Kanun
05.05.1937	3168	Deniz Hastahanesinin Tamiri İçin Taahhüde Girişilmesi Hakkında Kanun
17.05.1937	3173	Devlet Demiryolları ve Limanları İşletme Umum Müdürlüğü Memur ve Müstahdemlerinin Ücretlerine Dair Olan Kanunun Bazı Maddelerini Değiştiren Kanun
20.05.1937	3174	Askerlik Kanununun 5 inci Maddesine Bir Fıkra İlavesi Hakkında Kanun
27.05.1937	3186	Ziraati Takviye İçin 1337-1341 Senelerinde İktisat Maliye ve Ziraat Vekaletleri Bütçelerinden Çiftçilere Yapılan Yardımlardan Doğan Borçların Taksitlendirilmesine ve Faizlerinin Affına Dair Kanun
31.05.1937	3193	Askeri İhtisas Mahkemelerinin Faaliyetlerinin Uzatılmasına Dair Kanun
07.06.1937	3205	İstanbul Adliye Binasının Yanması Üzerine Alınacak Tedbirler Hakkındaki Kanuna Ek Kanun
07.06.1937	3208	Maarif Teşkilatına Dair Olan 789 Sayılı Kanunun 11 inci Maddesi Hükmünün Bir Yıl Tecili Hakkında Kanun
09.06.1937	3220	Teşviki Sanayi Kanununun 30 ve 36 ncı Maddelerinin Tadili Hakkında Kanun
09.06.1937	3224	Maarif Vekaleti Prevantoryum ve Sanatoryumu Hakkında Kanun
11.06.1937	3239	Küçükmanderes Nehri ile Tabilerinin Islahı Hakkındaki 2246 Sayılı Kanuna Ek Kanun
11.06.1937	3240	1076 Sayılı Kanunun 23 üncü Maddesinin Değiştirilmesi ve Bu Kanuna Bir Muvakkat Madde Eklenmesi Hakkında Kanun
11.06.1937	3244	Milli Müdafaa Vekaleti Hava Kısmında Ücretle Çalışan Uçuş Muallimlerinin Maaşları Hakkındaki 2797 Sayılı Kanuna Ek Kanun
14.06.1937	3262	Diyarbakır İstasyonundan Irak ve İran Hudutlarına Kadar Yapılacak Demiryolları Hakkında Kanun
08.12.1937	3277	Nalbant Mektepleri ve Nalbantlık Hakkında Kanun
08.12.1937	3278	2702 Numaralı Kanunda Bazı Değişiklikler Yapılması Hakkında Kanun
27.12.1937	3293	Sınai Müesseselerle Sigorta Şirketlerinde Kullanılan Ecnebilere Mukabil Türk Memur ve Mütehassıs Yetiştirilmesi Hakkında Kanun
03.01.1938	3298	Kültür Bakanlığı Merkez Teşkilatı ve Vazifeleri Hakkındaki 2287 Numaralı Kanunun 5 inci Maddesine Göre Toplanacak Olan Maarif Şurasının 1939 Yılına Tehirine Dair Kanun
03.01.1938	3299	Orta Tahsil Mekteplerinde Yardımcı Muallim Çalıştırılması Hakkındaki 2624 Numaralı Kanunun 1 inci Maddesinde Yazılı Müddetin Uzatılmasına Dair Kanun
03.01.1938	3302	Fenerler İdaresine Verilecek Tazminat Karşılığının Temin Sureti ve Hazinenin Ortaklığı Bulunan Şirketlere Ait Hisse Senetlerinin Satın Alınması Hakkında Kanun
05.01.1938	3305	Pamuk İplikleri ve Çimento Gümrük Resimlerinde Tenzilat İcrasına Dair Hükümetçe İttihaz Olunan Kararların Tasdikine Dair Kanun
14.01.1938	3313	İlk ve Orta Tedrisat Muallimlerinin Terfi ve Tecziyeleri Hakkındaki 1702 Sayılı Kanunun 2 nci ve 2517 Sayılı Kanunun 1 inci Maddelerine Birer Fıkra Eklenmesine Dair Kanun
14.01.1938	3318	Türk Gemi Kurtarma Şirketinin Tasfiyesi ile Bu Hizmetin Yeni Bir İdareye Devrine Dair Kanun
14.01.1938	3323	2887 Sayılı Kanunun Tadiline Dair Kanun
17.01.1938	3333	İstanbul Tramvay Şirketinden Alınan Paraların İstanbul Şehri İmarına Tahsisine Dair Kanun
14.03.1938	3336	Türk Parası Kıymetini Koruma Kanununa Ek Kanun
21.03.1938	3341	Osmanlı Bankası İmtiyaz Müddetinin Temdidine Dair Olan Kanuna Ek Kanun
25.03.1938	3344	Ortaokul Öğretmeni Kursuna İştirak Eden Öğretmen Okulu Mezunları Hakkında Kanun
15.04.1938	3366	İtalyadan İthal Edilecek Bazı Eşyaya Ait İcra Vekilleri Heyetinin 28.08.1937 Tarih ve 2/7443 Sayılı Kararnamesinin Tasdiki Hakkında Kanun
25.04.1938	3373	Bazı Maddelerin Gümrük Resimleri Hakkında Hükümetçe İttihaz Olunan Kararların Tasdikine Dair Kanun
25.04.1938	3374	Gayri Mübadillere Tahsis Edilen Mahallerin Vergileri Hakkında Kanun
25.04.1938	3375	İzmir Telefon Tesisatının Satın Alınmasına Dair Hükümetle Şirket Arasında Aktedilen Mukavelenamenin Tasdiki Hakkında Kanun
04.05.1938	3380	Sıhhat ve İçtimai Muavenet Vekaleti Teşkilat ve Memurin Kanununa Ek Kanun
04.05.1938	3381	Meteoroloji İstasyonları İçin Satın Alınacak Alet ve Cihazların Tedariki Hakkında Kanun
13.05.1938	3386	Abidatın Tamiri ve İzmir Fuarında Vakıflar Pavyonunun Tesis ve İdare Masrafları Hakkında Kanun
20.05.1938	3395	Milli Müdafaa İhtiyaçları İçin 125,5 Milyon Liraya Kadar Taahhüde Girilmesine Dair Kanun
25.05.1938	3402	İspençiyari ve Tıbbi Müstahzarlar Kanununun 18 inci Maddesinin Değiştirilmesine ve Bazı Hükümlerinin Kaldırılmasına Dair Kanun
30.05.1938	3413	3043 Sayılı Kanuna Bağlı Çizelgenin Değiştirilmesi Hakkında Kanun
30.05.1938	3421	İnhisarlar İdaresinin Mütedavil Sermayesi Hakkında Kanun
06.06.1938	3427	Yugoslavya Hükümetinden, Alınan Tazminatın Kızılay Cemiyetine Verilmesine Dair Kanun
10.06.1938	3435	Kat i Ticaret Muahadeleri Akdi İçin Kendileriyle Müzakereye Başlanmış veya Başlanacak Devletlerle Muvakkat Ticari İtilaflar Akdi Hakkındaki 2759 Numaralı Kanunla Verilen Salahiyet Müddetinin İki Sene Uzatılmasına Dair Kanun
15.06.1938	3450	Devlete, Mülhak ve Hususi Bütçelerle İdare Edilen Teşekküllere ve Belediyelere Ait Mukataalı Binaların Kıymetlerinin Takdiri Hakkında Kanun
17.06.1938	3459	Müze ve Rasathane Teşkilat Kanununda Değişiklik Yapılmasına Dair Kanun
22.06.1938	3472	İdarei Umumiyei Vilayat Kanununun Muaddel 84 üncü Maddesinin Değiştirilmesine Dair Kanun
22.06.1938	3477	İzmir Vilayeti Turistik Yollarının İnşasına Dair Kanun
22.06.1938	3480	İstanbul Elektrik Şirketi İmtiyazı ile Tesisatının Satın Alınmasına Dair Mukavelenin Tasdiki Hakkında Kanun
22.06.1938	3481	İstanbul Elektrik İşleri Umum Müdürlüğü Teşkilat ve İşletmesine Dair Kanun
24.06.1938	3492	Türkiye Cumhuriyeti Merkez Bankası Kanununun Bazı Hükümlerini Değiştiren Kanun
24.06.1938	3496	Bazı Maddelerin Gümrük Resimleri Hakkında Hükümetçe İttihaz Olunan Kararların Tasdikine Dair Kanun
24.06.1938	3497	1927 ve Daha Evvelki Bütçe Senelerine Taalluk Eden Zimmetlerin Tasfiyesi Hakkında Kanun
27.06.1938	3507	Yüksek İktisat ve Ticaret Mektebinin Maarif Vekaletine Devrine Dair Kanun
28.06.1938	3521	Balya-Karaaydın Madenleri Kiralama ve İşletme Şirketinin Getireceği Mayi Madeni Mahrukatın Gümrük ve Muamele Resminden İstisnasına Dair Olan Kanuna Ek Kanun
28.06.1938	3523	Gayri Mübadil İstihkaklarının Tasfiyesine Dair Kanun
28.06.1938	3524	Hazinenin Taksitle Sattığı Bütün Gayrimenkullerin Satış Bedellerinin Tahsil Sureti Hakkında Kanun
29.06.1938	3528	Bazı Maddelerin Gümrük Resimleri Hakkında Hükümetçe İttihaz Olunan Kararların Tasdiki Hakkında Kanun
29.06.1938	3537	Teşviki Sanayi Kanunu ile Bu Kanuna Müzeyyel 2261 Sayfa Kanunun Bazı Hükümlerinin Değiştirilmesine Dair Kanun
09.01.1939	3554	Yer Sarsıntısına Maruz Kalan Bazı Yerlerde Kızılay Kurumunca Yaptırılacak İnşaata Ait Malzemenin Devlet Demiryollarında Parasız Nakledilmesi Hakkında Kanun
18.01.1939	3563	Ordudan Çıkarılacak 12 Yaşından Yukarı Hayvanların Çiftçiye Satılması Hakkında Kanun
26.01.1939	3572	İkinci Kanun ve Şubat 1939 Ayları Ücret ve Maaşlarının Tediye Sureti Hakkında Kanun
26.01.1939	3576	Devlet Demiryoları ve Limanları Umumi İdaresinin Teşkilat ve Vazifelerine Dair Olan 1042 Numaralı Kanuna Ek Kanun
26.01.1939	3578	İdarei Umumiyei Vilayat Kanununun Bazı Maddelerinin Tadili Hakkındaki 2630 Sayılı Kanunun 2 nci Maddesini Değiştiren Kanun
26.01.1939	3586	Arazi Vergisinin 1935 Mali Yılı Sonuna Kadar Olan Bakayasının Terkinine Dair Kanun
26.01.1939	3587	Milli Müdafaa İhtiyaçları İçin 125,5 Milyon Liraya Kadar Taahhüde Girişilmesi Hakkındaki 3395 Sayılı Kanuna Ek Kanun
17.05.1939	3608	Sıhhat ve İçtimai Muavenet Vekaleti, Teşkilat ve Memurin Kanununa Ek Kanun
17.05.1939	3609	Abidelerin Esaslı Tamiri İçin Vakıf Paralar İdaresinden İstikraz Akdi Hakkında Kanun
30.05.1939	3627	İnhisarlar İdaresine Mütedavil Sermaye Hattini Tecavüz Etmemek Üzere Bono İhracına ve Maliye Vekiline Bu Bonalara Kefalete Mezuniyet Verilmesine Dair Kanun
12.06.1939	3642	İstanbul Tramvay Şirketinin İmtiyaz Hakkı ile Bu Şirket Tesisatının Satın Alınmasına Dair Olan Mukavelenin Tasdiki Hakkında Kanun
12.06.1939	3643	İstanbul Tünel Şirketinin İmtiyaz Hakkı ile Bu Şirket Tesisatının Satın Alınmasına Dair Olan Mukavelenin Tasdiki Hakkında Kanun
30.06.1939	3655	Küçükmenderes Nehri ile Tabiilerinin Islahı Hakkındaki 2246 Sayılı Kanuna Ek Kanun
05.07.1939	3661	Subaylar ve Askeri Memurların Maaşatına Dair Olan 1453 Sayılı Kanuna Ek Kanun
05.07.1939	3663	Ordu Mensuplarının Evlenmelerine Dair Kanun
05.07.1939	3672	Mülga Donanma Cemiyeti Tarafından Çıkarılan İkramiyeli Piyango Tahvillerinin Kaldırılmasına Dair Kanun
05.07.1939	3681	Hariçten İthal Edilecek 55 000 Ton Kok Kömürünün Gümrük Resminin 7,5 Liradan 2 Liraya Tenziline Dair İcra Vekilleri Heyetince Verilen Kararın Tasdikine Dair Kanun
05.07.1939	3687	Karadeniz Kömür Havzasından Kömür Alacak Gemilerin Rüsumdan Muafiyetine Dair Kanun
05.07.1939	3688	Ankara Elektrik, Ankara Havagazı ve Adana Elektrik Türk Anonim Şirketleri Hisse Senetleri ile Hak ve Vecibelerinin Satın Alınmasına Dair Mukavelelerin Tasdikine ve Bu Şirketlerin Muvakkat İşletmeleri ile Satın Alma Bedellerinin Tesviye Tarzına Dair Kanun
05.07.1939	3689	Bursa ve Müttehit Elektrik Türk Anonim Şirketleri İmtiyazlariyle Tesisatının ve Mersin Elektrik Türk Anonim Şirketi Hisse Senetlerinden Bir Kısmının Satın Alınmasına Dair Mukavelenamenin Tasdiki ve Bu Müesseselerin İşletmeleri Hakkında Kanun
06.07.1939	3696	Teşviki Sanayi Kanununun Zeyilleri Olan 2261 Sayılı Kanunun 3 üncü Maddesinin Kaldırılmasına ve 3537 Sayılı Kanunda Bazı Değişiklik Yapılmasına Dair Kanun
06.07.1939	3697	Ankara Orman Çiftliğindeki Bira Fabrikalarıyla Tesisat ve Müştemilatının ve Arpa Silosunun İnhisarlar Umum Müdürlüğüne Devri Hakkında Kanun
06.07.1939	3698	Devlet Demiryollarına Muharrik ve Müteharrik Edevat Mübaayası İçin Gelecek Yıllara Geçici Taahhüde Girişilmesi ve Haydarpaşa-Sirkeci Arasında Feribot Tesisi ve İşletilmesi Hakkında Kanun
06.07.1939	3699	Hazineye Ait Ecrimisillerin Artmaması Hakkında Kanun
06.07.1939	3700	Umumi Nüfus Sayımı Hakkında Kanun
07.07.1939	3705	Nüfus Yazımı Deneme Kanunu
07.07.1939	3706	Tunceli Vilayetinin İdaresi Hakkındaki 2884 Sayılı Kanunun Hükmünün Uzatılmasına Dair Kanun
07.07.1939	3707	Tapu ve Kadastro Umum Müdürlüğünün Adliye Vekaletine Bağlanmasına Dair Kanun
07.07.1939	3708	Türk Ceza Kanununun 494 üncü Maddesini Değiştiren Kanun
07.07.1939	3709	Mukataalı Binaların Kıymetlerinin Takdiri Hakkındaki 3450 Numaralı Kanun Hükümlerinin Vergiden Müstesna Tutulan Arazi ve Arsalar Hakkında da Tatbikine Dair Kanun
07.07.1939	3712	Hatay Halkının Askerlik İşleri Hakkında Kanun
07.07.1939	3714	İskenderun Limanının Devlet Limanları İstetme Umum Müdürlüğüne ve Payas-İskenderun Demiryolunun Devlet Demiryolları ve Limanları İşletme Umum Müdürlüğüne Devri Hakkında Kanun
07.07.1939	3717	Devlet Hava Yolları Umum Müdürlüğü İhtiyacı İçin Telsiz Cihazı ve Tayyare Yedek Malzeme Vesaire Mübası Hakkında Kanun
08.07.1939	3719	Askeri Ceza Kanununun 47 nci ve 148 inci Maddelerini Değiştiren Kanun
02.10.1939	3725	Mazbut Vakıflara Ait Akarların Tamir ve İhyaları İçin 2578 Sayılı Kanun Mucibince Tavizen Alınan 150 Bin Liranın Ödenmesi Hakkında Kanun
02.10.1939	3727	Anasonun Gümrük Resmi Hakkında Hükümetçe İttihaz Olunan Kararın Tasdikine Dair Kanun
09.10.1939	3729	Ecnebi Devletlerden Temin Edilen ve Edilecek Olan Kredilere Mahsuben Celbolunan Harp Teçhizat ve Levazımının Gümrük Resmi ile Sair Vergi ve Resimlerden İstisnası Hakkında Kanun
09.10.1939	3730	Göçmenlerle Nakledilenlere ve Muhtaç Çiftçilere Tohumluk ve Yemeklik Dağıtılması Hakkındaki 3242 Sayılı Kanuna Ek Kanun
13.12.1939	3746	Sanayide Kullanılan İptidai Maddelerle Makina Alat ve Edevat ve Bunların Yedek ve Tecdit Parçalarının Gümrük Resimleri Hakkında Hükümetçe İttihaz Olunan Kararların Tasdikine Dair Kanun
10.01.1940	3768	Zelzele Mıntıkasında Ceza Hükümleriyle Tevkif Kararlarının İnfazının Tehirine Dair Kanun
17.01.1940	3773	Erzincan da ve Erzincan Yer Sarsıntısından Müteessir Olan Mıntıkada Zarar Görenlere Yapılacak Yardım Hakkında Kanun
17.01.1940	3775	Hariçten İthal Edilecek Bazı Maddelerin Gümrük Resimlerinin Tadili Hakkındaki 2294 Sayılı Kanuna Tevfikan İcra Vekilleri Heyetince İttihaz Edilen Kararların Tasdikine Dair Kanun
03.04.1940	3793	İhtiyat Subay ve İhtiyat Askeri Memurlar Hakkındaki 1076 Sayılı Kanunun 3 üncü ve 14 üncü Maddelerine Birer Fıkra Eklenmesine Dair Kanun
03.04.1940	3796	Ankara Hukuk Fakültesi İnşaatının İkmali İçin 1940 ve 1941 Senelerine Geçici Taahhüde Girişilmesi Hakkında Kanun
24.04.1940	3806	Hatay Jandarma Teşkilatının Maaş ve İaşe Bedelleri Hakkında Kanun
26.04.1940	3810	Askerlik Kanununun 58 inci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
26.04.1940	3811	Türk Bira Fabrikaları (Bomanti-Nektar) Türk Anonim Şirketinden Satın Alınacak Fabrikalar Bedelinin ve 1939 Senesine Ait Masraf ve Ücretlerin Ödenmesi Usulüne Dair Kanun
06.05.1940	3813	Diyarbakır İstasyonundan Irak ve İran Hudutlarına Kadar Yapılacak Demiryolları Hakkındaki 3262 Sayılı Kanunun 1 inci Maddesinin Tadiline Dair Kanun
13.05.1940	3818	Orman Umum Müdürlüğü Teşkilat Kanunu ile Orta Orman Mektebi Teşkili ve Muallimleri Hakkındaki Kanun ile Orman Koruma Teşkilat Kanununda Bazı Değişiklikler Yapılmasına Dair Kanun
13.05.1940	3820	Sıhhat ve İçtimai Muavenet Vekaleti Teşkilat ve Memurin Kanununda Değişiklik Yapılmasına Dair Kanun
17.05.1940	3828	Fevkalade Vaziyet Dolayısıyle Bazı Vergi ve Resimlere Zam İcrasına ve Bazı Maddelerin Mükellefiyet Mevzuuna Alınmasına Dair Kanun
20.05.1940	3829	Devlet Konservatuvarı Hakkında Kanun
22.05.1940	3834	3413 Sayılı Kanuna Bağlı Cetvelin Değiştirilmesi Hakkında Kanun
22.05.1940	3835	Askeri ve Mülki Tekaüt Kanununda Bazı Değişiklikler İcrasına ve Vatani Hizmet Tertibinden Verilen Maaşlara Zam Yapılmasına Dair Kanun
05.06.1940	3879	Zonguldak-Kozlu Demiryolunun İnşası Hakkında Kanun
03.07.1940	3892	Cezaevi İnşaası İçin İstikraz Akdine ve Sari Taahhüdat İcrasına Dair Kanun
10.07.1940	3893	Erzincan a ve Erzincan Yer Sarsıntısından Müteessir Olan Mıntıkaya Yardım İçin Yapılan ve Yapılacak Her Nev i Nakliyattan Alınacak Ücretlere Dair Kanun
07.08.1940	3908	Yeniden Kurulacak Erzincan Şehiryerinin İstimlakine Dair Kanun
21.08.1940	3912	Zelzeleden Zarara Uğrayan Bedeli Nakdi Eratı Hakkında Kanun
11.09.1940	3917	Askerlik Kanununun 58 inci Maddesine İlave Edilen Fıkranın Değiştirilmesi Hakkında Kanun
11.09.1940	3922	Jandarma Subaylığından Mütekait Yüzbaşı ve Üsteğmenlerin Kaza Jandarma Komutanlıklarına Mütekaiden İstihdam Edilebilecekleri Hakkında Kanun
11.09.1940	3923	Yedek Subay ve Askeri Memurlar Hakkındaki 1076 Sayılı Kanunun 3 üncü Maddesinin Değiştirilmesi Hakkında Kanun
11.12.1940	3938	Göçmenlerle Nakledilenlere ve Muhtaç Çiftçilere Tohumluk ve Yemeklik Tevzii Hakkındaki 3242 Sayılı Kanuna Ek Kanun
18.12.1940	3945	Derince Travers Fabrikasının Devlet Demiryolları ve Limanları İşletme Umum Müdürlüğüne Devri Hakkında Kanun
25.12.1940	3950	Bina ve Arazi Vergilerinden İstisna Edilmiş Olan Mukataalı Gayrimenkullere Kıymet Takdiri Hakkında Kanun
03.01.1941	3970	Yabancı Memleketlerle Muvakkat Mahiyette Ticaret Anlaşmaları ve Modüs Vivendiler Akdine ve Bunların Şümulüne Giren Maddelerin Gümrük Resimlerinde Değişiklikler Yapılmasına ve Anlaşmaya Yanaşmayan Devletler Müvaredatına Karşı Tedbirler Alınmasına Salahiyet Verilmesi Hakkında Kanun
06.01.1941	3974	Türk Parası Kıymetini Koruma Kanununa Müzeyyel Kanun
06.01.1941	3975	Hazinenin Taksitle Sattığı Bütün Gayrimenkullerin Satış Bedellerinin Tahsil Sureti Hakkındaki 3524 Sayılı Kanuna Ek Kanun
06.01.1941	3976	Orta Tahsil Mekteplerinde Yardımcı Muallim Çalıştırılması Hakkındaki Kanunun Meriyet Müddetinin Uzatılması Hakkında Kanun
06.01.1941	3978	Türkiye Cumhuriyet Merkez Bankası Kanununun Muvakkat 8 inci Maddesindeki Müddetin Uzatılması Hakkında Kanun
02.04.1941	3989	1932 Senesinden İtibaren Tıp Fakültesinden Neşet Edecek Tabiplerin Mecburi Hizmetlerinin Lağvı ve Leyli Tıb Talebe Yurduna Alınan Tıb Talebesinin Tabi Olacakları Mecburiyetler Hakkındaki 2000 Sayılı Kanuna Ek Kanun
07.04.1941	3993	Yedek Subay ve Askeri Memurlar Hakkındaki Kanunun 3923 Sayılı Kanunla Değiştirilen 3 üncü Maddesine Bazı Hükümler İlavesine Dair Kanun
09.04.1941	3994	Cami ve Mescitlerin Tasnifine ve Tasnif Harici Kalacak Cami ve Mescit Hademesine Verilecek Muhassasata Dair 2845 Sayılı Kanunun 1 inci Maddesine Bazı Fıkralar İlavesi Hakkında Kanun
16.04.1941	4000	Erzincan da ve Erzincan Yer Sarsıntısından Müteessir Olan Mıntıkada Zarar Görenlere Yapılacak Yardım Hakkındaki Kanunun 5 inci Maddesine Bir Fıkra İlavesine ve Bu Kanuna Yeniden Bazı Hükümler Eklenmesine Dair Kanun
25.04.1941	4005	Jandarma Efradı Hakkındaki 1861 Sayılı Kanuna Ek Kanun
28.04.1941	4011	Antakya ve İskenderun Elektrik Müesseselerinin Mahalli Belediyelere Devrine Mezuniyet Verilmesi Hakkında Kanun
14.05.1941	4031	İzmir Vilayeti Hususi İdaresince Yapılacak İstikraza Hazinenin Kefaletine Dair Kanun
21.05.1941	4037	Hariciye Vekaleti Teşkilatı Hakkındaki 3312 Sayılı Kanuna Ek Kanun
29.05.1941	4040	Fevkalade Vaziyet Dolayısıyla Bazı Vergi ve Resimlere Zam İcrasına Dair Olan 3828 Numaralı Kanuna Ek Kanun
02.06.1941	4057	Diyarbakır ve Elazığ İstasyonlarından Irak ve İran Hudutlarına Kadar Yapılacak Demiryollarının İnşaası İçin İstikraz Akdine Dair Kanun
02.06.1941	4058	Tasarruf Bonoları İhracına Dair Kanun
09.06.1941	4062	2510 Sayılı İskan Kanununun 39 uncu Maddesinin Tadili Hakkında Kanun
23.06.1941	4070	Devlete ve Mülhak Bütçeli Dairelere Ait Mukataa ve İcareteynlı Gayrimenkullerin Vakıfla İlişiğinin Kesilmesi Hakkında Kanun
23.06.1941	4071	Erzincan da ve Erzincan Yer Sarsıntısından Mütesssir Olan Mıntıkada Zarar Görenlere Yapılacak Yardım Hakkındaki Kanuna Ek Kanun
25.06.1941	4073	Yedek Subay ve Askeri Memurlar Hakkındaki 1076 Sayılı Kanunun 17 ve 22 nci Maddelerinin Dsğiştirilmesine Dair Kanun
02.07.1941	4083	Haliç Vapurları İşletme İnhisarına Dair Kanun
02.07.1941	4084	Hariçten Satın Alınan Buharlı ve Motorlu Gemilerle Memlekete Yapılan Mümasilleri İçin Getirtilecek Eşyanın Gümrük Resminden İstisnasına Dair Olan 3339 Sayılı Kanun Hükümlerinin Uzatılması Hakkında Kanun
04.07.1941	4089	Dahiliye Memurları Kanununun 2 ve 3 üncü Maddelerinin Değiştirilmesine Dair Kanun
04.07.1941	4091	Hatay ın Anavatana İlhakından Önce Orada Öğretmenlik Yapanlara Dair Kanun
04.07.1941	4092	Askerlik Kanununun 35 inci Maddesini Değiştiren 3920 Numaralı Kanunun «C» Fıkrasına Bazı Hükümler İlavesi Hakkında Kanun
04.07.1941	4094	Hatay Ziraat Bankasının Tasfiyesinde İpotekli ve Müteselsil Kefaletli Zirai Alacaklarının Taksitlendirilmesine Dair Kanun
04.07.1941	4095	Uzunköprü-Svilengrad Arasında Türk Toprağı Haricindeki Demiryolu Kısımlarının İşletilmesi Hakkında Kanun
08.08.1941	4097	Artırma, Eksiltme ve İhale Hakkındaki 2490 Sayılı Kanunla 1050 Sayılı Muhasebei Umumiye Kanununa Bir Muvakkat Madde Eklenmesine Dair Kanun
08.08.1941	4100	Yeniden Yapılacak Su İşlerine 31 Milyon Lira Tahsisi Hakkındaki 3132 ve Bu Paranın Sureti Temini Hakkındaki 3483 Sayılı Kanunlara Ek Kanun
01.08.1941	4107	Yedek Subay ve Askeri Memurlar Kanununda Değişiklik Yapan 3993 Numaralı Kanunun Birinci Maddesinin (B) Fıkrasının Tadiline Dair Kanun
01.08.1941	4110	İnhisarlar Umum Müdürlüğü Mütedavil Sermayesinin 36 Milyon Beş Yüz Bin Liraya İblağına Dair Kanun
02.09.1941	4111	Hatay Kadastrosuna İtiraz Müddeti Hakkında Kanun
02.09.1941	4112	Milli Müdafaa Mükellefiyeti Kanununun 27 nci Maddesinin Değiştirilmesi Hakkında Kanun
02.09.1941	4118	Vakıflar Umum Müdürlüğünün Üsküdar-Kadıköy Halk Tramvayları Şirketindeki Hissesinin İstanbul Belediyesine Devri Hakkında Kanun
02.09.1941	4120	Tasarruf Bonoları İhracına Dair 4058 Numaralı Kanuna Ek Kanun
02.09.1941	4121	İstanbul Yüksek Mühendis Okulu ile Teknik Okulunun Maarif Vekilliğine Devri Hakkında Kanun
12.09.1941	4126	Erzincan ve Erzurum Belediyelerine 3 Milyon 300 Bin Lira İkrazına Dair Kanun
12.09.1941	4127	Ilıca-İskele Palamutluk Demiryolu İmtiyazı ile Şirkete Ait Malların Satın Alınmasına Dair Mukavelenin Tasdiki Hakkında Kanun
15.12.1941	4146	1423 Sayılı Ağıllar Kanununun Birinci Maddesindeki Mecburi Müddetin Uzatılmasına Dair Kanun
15.12.1941	4151	Tabiiyet Muamelatından Alınacak Harçlara Dair 1260 Sayılı Kanunun 8 inci Maddesinin Değiştirilmesine Dair Kanun
